No,Species,Light_Cat,Core,Soil,Sterile,Conspecific,Census,Time
126,1,1,2017,0,0,0,4,14.0
11,3,1,2017,1,0,0,33,115.5
12,4,1,2017,0,0,0,18,63.0
2823,1,1,2016,0,0,0,4,14.0
5679,1,0,2017,0,0,0,4,14.0
18,2,1,2016,2,0,0,7,24.5
25,3,1,2016,3,0,0,7,24.5
40,4,1,2017,4,1,1,7,24.5
26,4,1,2016,5,0,0,33,115.5
41,1,1,2016,3,0,0,7,24.5
30,4,1,2017,0,0,0,33,115.5
33,3,1,2017,5,0,0,21,73.5
34,3,1,2016,6,0,2,21,73.5
37,3,1,2017,2,0,0,17,59.5
42,3,1,2016,4,1,1,7,24.5
39,3,1,2017,1,0,0,33,115.5
50,4,1,2017,4,1,1,7,24.5
68,4,1,2017,1,0,2,7,24.5
91,1,1,2016,3,0,0,7,24.5
98,1,1,2017,5,0,2,7,24.5
130,1,1,2017,4,1,1,7,24.5
134,1,1,2016,6,0,0,7,24.5
55,4,1,2017,1,0,2,33,115.5
142,3,1,2017,2,0,0,7,24.5
59,3,1,2016,6,0,2,21,73.5
61,3,1,2016,5,0,0,21,73.5
148,3,1,2017,1,0,0,7,24.5
63,1,1,2016,3,0,0,17,59.5
151,3,1,2016,1,0,0,7,24.5
154,4,1,2016,5,0,0,7,24.5
74,3,1,2016,3,0,0,33,115.5
83,4,1,2017,6,0,0,33,115.5
85,3,1,2017,2,0,0,33,115.5
89,3,1,2017,2,0,0,33,115.5
164,3,1,2017,3,0,0,7,24.5
166,1,1,2017,2,0,0,7,24.5
93,1,1,2016,4,1,1,19,66.5
169,3,1,2017,3,0,0,7,24.5
178,4,1,2017,5,0,0,7,24.5
183,1,1,2016,2,0,0,7,24.5
200,2,1,2016,3,0,0,7,24.5
212,4,1,2016,1,0,2,7,24.5
108,3,1,2017,0,0,0,33,115.5
217,3,1,2017,0,0,0,7,24.5
225,3,1,2017,4,1,1,7,24.5
237,3,1,2016,6,0,2,7,24.5
244,1,1,2016,3,0,0,7,24.5
273,1,1,2016,3,0,0,7,24.5
278,3,1,2017,5,0,0,7,24.5
124,3,1,2017,1,0,0,20,70.0
286,4,1,2016,6,0,0,7,24.5
127,4,1,2017,6,0,0,18,63.0
297,4,1,2017,2,0,0,7,24.5
298,3,1,2017,5,0,0,7,24.5
135,4,1,2017,4,1,1,33,115.5
312,4,1,2016,5,0,0,7,24.5
318,4,1,2016,3,0,0,7,24.5
319,3,1,2017,6,0,2,7,24.5
327,2,1,2017,5,0,0,7,24.5
332,2,1,2017,2,0,0,7,24.5
337,3,1,2017,6,0,2,7,24.5
348,3,1,2016,0,0,0,7,24.5
351,4,1,2017,6,0,0,7,24.5
352,4,1,2017,3,0,0,7,24.5
369,4,1,2017,6,0,0,7,24.5
394,3,1,2017,0,0,0,7,24.5
405,4,1,2017,4,1,1,7,24.5
416,4,1,2016,3,0,0,7,24.5
424,2,1,2017,6,0,0,7,24.5
438,3,1,2016,1,0,0,7,24.5
175,3,1,2017,4,1,1,33,115.5
441,1,1,2016,5,0,2,7,24.5
445,2,1,2017,4,1,1,7,24.5
186,4,1,2017,3,0,0,33,115.5
446,4,1,2017,1,0,2,7,24.5
477,2,1,2017,6,0,0,7,24.5
491,3,1,2016,4,1,1,7,24.5
499,2,1,2017,4,1,1,7,24.5
196,4,1,2017,4,1,1,17,59.5
510,1,1,2017,5,0,2,7,24.5
557,1,1,2016,3,0,0,7,24.5
601,2,1,2017,6,0,0,7,24.5
606,2,1,2017,1,0,0,7,24.5
616,1,1,2016,2,0,0,7,24.5
617,2,1,2016,5,0,0,7,24.5
631,1,1,2016,3,0,0,7,24.5
633,1,1,2016,1,0,0,7,24.5
646,3,1,2017,5,0,0,7,24.5
243,3,1,2017,6,0,2,33,115.5
650,3,1,2017,4,1,1,7,24.5
664,1,1,2017,6,0,0,7,24.5
683,3,1,2017,0,0,0,7,24.5
701,1,1,2017,1,0,0,7,24.5
253,3,1,2017,1,0,0,33,115.5
703,3,1,2016,5,0,0,7,24.5
266,4,1,2017,2,0,0,33,115.5
705,1,1,2017,6,0,0,7,24.5
721,4,1,2017,4,1,1,7,24.5
743,3,1,2017,2,0,0,7,24.5
767,3,1,2017,6,0,2,7,24.5
874,4,1,2017,5,0,0,7,24.5
884,3,1,2017,4,1,1,7,24.5
288,3,1,2017,4,1,1,27,94.5
890,3,1,2016,1,0,0,7,24.5
293,3,1,2016,5,0,0,33,115.5
902,3,1,2016,3,0,0,7,24.5
913,1,1,2016,5,0,2,7,24.5
300,3,1,2017,4,1,1,33,115.5
304,4,1,2017,0,0,0,18,63.0
307,4,1,2017,1,0,2,33,115.5
921,3,1,2016,0,0,0,7,24.5
314,4,1,2017,0,0,0,18,63.0
943,3,1,2016,4,1,1,7,24.5
946,1,1,2016,3,0,0,7,24.5
967,1,1,2017,0,0,0,7,24.5
969,4,1,2017,6,0,0,7,24.5
973,4,1,2017,2,0,0,7,24.5
983,3,1,2017,5,0,0,7,24.5
990,2,1,2016,4,1,1,7,24.5
994,4,1,2016,4,1,1,7,24.5
997,4,1,2016,2,0,0,7,24.5
343,4,1,2017,0,0,0,18,63.0
1008,3,1,2017,6,0,2,7,24.5
1009,4,1,2017,2,0,0,7,24.5
1015,3,1,2017,5,0,0,7,24.5
353,4,1,2017,5,0,0,33,115.5
1016,2,1,2016,5,0,0,7,24.5
1028,1,1,2016,4,1,1,7,24.5
363,4,1,2017,0,0,0,18,63.0
1029,1,1,2017,4,1,1,7,24.5
1035,4,1,2016,5,0,0,7,24.5
1046,1,1,2016,1,0,0,7,24.5
1048,1,1,2017,4,1,1,7,24.5
1057,3,1,2017,3,0,0,7,24.5
1058,3,1,2017,2,0,0,7,24.5
1065,2,1,2017,2,0,0,7,24.5
382,3,1,2017,0,0,0,33,115.5
383,4,1,2016,1,0,2,33,115.5
1070,1,1,2016,6,0,0,7,24.5
1082,1,1,2017,4,1,1,7,24.5
1084,4,1,2017,0,0,0,7,24.5
1089,3,1,2017,5,0,0,7,24.5
1091,1,1,2016,4,1,1,7,24.5
1098,3,1,2016,6,0,2,7,24.5
395,1,1,2017,4,1,1,19,66.5
1106,3,1,2017,6,0,2,7,24.5
1126,3,1,2017,5,0,0,7,24.5
1137,2,1,2017,4,1,1,7,24.5
1161,4,1,2017,4,1,1,7,24.5
409,4,1,2017,2,0,0,21,73.5
410,4,1,2016,3,0,0,18,63.0
415,4,1,2017,2,0,0,33,115.5
1164,4,1,2016,1,0,2,7,24.5
417,3,1,2017,2,0,0,33,115.5
1177,2,1,2017,0,0,2,7,24.5
1182,4,1,2017,6,0,0,7,24.5
428,3,1,2017,4,1,1,33,115.5
432,3,1,2016,5,0,0,33,115.5
433,1,1,2017,3,0,0,18,63.0
434,2,1,2017,4,1,1,17,59.5
436,3,1,2016,1,0,0,20,70.0
1204,4,1,2017,1,0,2,7,24.5
1209,1,1,2017,1,0,0,7,24.5
1220,3,1,2017,1,0,0,7,24.5
1221,4,1,2017,0,0,0,7,24.5
444,1,1,2016,4,1,1,19,66.5
1224,2,1,2017,4,1,1,7,24.5
1229,1,1,2016,0,0,0,7,24.5
1234,4,1,2017,0,0,0,7,24.5
456,4,1,2017,4,1,1,17,59.5
1235,3,1,2017,4,1,1,7,24.5
1245,3,1,2016,0,0,0,7,24.5
1256,1,1,2016,3,0,0,7,24.5
1269,4,1,2017,1,0,2,7,24.5
1270,3,1,2016,1,0,0,7,24.5
1284,1,1,2017,2,0,0,7,24.5
1292,1,1,2016,5,0,2,7,24.5
1300,2,1,2017,4,1,1,7,24.5
1301,4,1,2017,0,0,0,7,24.5
496,3,1,2017,0,0,0,33,115.5
497,3,1,2016,3,0,0,33,115.5
1306,1,1,2017,6,0,0,7,24.5
503,4,1,2017,4,1,1,21,73.5
504,4,1,2017,2,0,0,33,115.5
505,1,1,2017,6,0,0,17,59.5
1307,1,1,2017,4,1,1,7,24.5
508,2,1,2016,2,0,0,18,63.0
1312,3,1,2017,5,0,0,7,24.5
1324,3,1,2016,6,0,2,7,24.5
516,4,1,2016,1,0,2,33,115.5
524,3,1,2016,1,0,0,33,115.5
525,3,1,2016,6,0,2,23,80.5
532,4,1,2017,3,0,0,33,115.5
537,4,1,2017,5,0,0,19,66.5
541,3,1,2016,3,0,0,33,115.5
542,2,1,2017,2,0,0,17,59.5
1339,2,1,2017,2,0,0,7,24.5
1346,3,1,2016,5,0,0,7,24.5
1350,1,1,2016,4,1,1,7,24.5
548,2,1,2016,2,0,0,17,59.5
554,3,1,2016,3,0,0,33,115.5
1354,2,1,2016,0,0,2,7,24.5
1359,1,1,2017,3,0,0,7,24.5
564,3,1,2017,4,1,1,33,115.5
1360,3,1,2016,2,0,0,7,24.5
568,3,1,2017,1,0,0,20,70.0
1385,1,1,2017,4,1,1,7,24.5
1393,1,1,2016,5,0,2,7,24.5
1414,2,1,2016,2,0,0,7,24.5
1417,1,1,2017,3,0,0,7,24.5
1418,2,1,2017,6,0,0,7,24.5
1421,3,1,2017,2,0,0,7,24.5
1458,3,1,2017,5,0,0,7,24.5
1464,1,1,2017,0,0,0,7,24.5
589,4,1,2017,2,0,0,33,115.5
1472,4,1,2016,4,1,1,7,24.5
1475,3,1,2016,3,0,0,7,24.5
1479,2,1,2016,6,0,0,7,24.5
1485,1,0,2017,1,0,0,7,24.5
1492,1,1,2016,5,0,2,7,24.5
1493,4,1,2016,2,0,0,7,24.5
1509,3,1,2016,6,0,2,7,24.5
1510,4,1,2017,1,0,2,7,24.5
1521,4,0,2017,5,0,0,7,24.5
1531,2,1,2016,3,0,0,7,24.5
635,3,1,2017,3,0,0,33,115.5
639,4,1,2017,0,0,0,33,115.5
640,4,1,2017,0,0,0,33,115.5
1554,4,1,2017,3,0,0,7,24.5
1567,4,1,2017,3,0,0,7,24.5
1576,3,0,2017,3,0,0,7,24.5
1585,3,1,2017,1,0,0,7,24.5
1587,3,1,2017,4,1,1,7,24.5
654,4,1,2017,4,1,1,33,115.5
1589,1,1,2016,2,0,0,7,24.5
1598,3,0,2017,0,0,0,7,24.5
659,1,1,2017,4,1,1,19,66.5
1599,4,0,2017,6,0,0,7,24.5
1612,4,0,2016,3,0,0,7,24.5
665,4,1,2017,4,1,1,33,115.5
1617,4,0,2017,1,0,2,7,24.5
671,4,1,2017,2,0,0,19,66.5
676,3,1,2017,5,0,0,21,73.5
681,3,1,2017,6,0,2,21,73.5
682,3,1,2016,4,1,1,19,66.5
1622,2,1,2017,4,1,1,7,24.5
685,1,1,2017,4,1,1,19,66.5
688,3,1,2017,1,0,0,20,70.0
1635,2,0,2017,5,0,0,7,24.5
693,4,1,2017,1,0,2,17,59.5
1644,1,1,2017,6,0,0,7,24.5
1645,2,1,2016,0,0,2,7,24.5
1647,4,1,2017,5,0,0,7,24.5
1659,3,1,2017,4,1,1,7,24.5
1660,3,1,2016,1,0,0,7,24.5
1661,3,1,2016,6,0,2,7,24.5
1668,2,0,2017,2,0,0,7,24.5
1669,2,0,2016,4,1,1,7,24.5
712,3,1,2017,4,1,1,33,115.5
715,4,1,2017,6,0,0,33,115.5
1671,2,0,2016,4,1,1,7,24.5
725,3,1,2017,3,0,0,33,115.5
1677,4,1,2017,0,0,0,7,24.5
1683,4,1,2017,5,0,0,7,24.5
734,1,1,2017,4,1,1,19,66.5
735,3,1,2017,0,0,0,19,66.5
737,4,1,2016,5,0,0,33,115.5
740,3,1,2016,4,1,1,23,80.5
1686,4,0,2017,4,1,1,7,24.5
1693,1,1,2016,1,0,0,7,24.5
745,1,1,2017,4,1,1,19,66.5
748,4,1,2016,5,0,0,21,73.5
749,3,1,2017,0,0,0,33,115.5
1718,4,1,2016,3,0,0,7,24.5
1719,3,1,2017,2,0,0,7,24.5
758,4,1,2016,3,0,0,33,115.5
1733,2,1,2017,4,1,1,7,24.5
763,4,1,2016,5,0,0,33,115.5
1747,3,1,2016,1,0,0,7,24.5
1754,4,1,2016,3,0,0,7,24.5
770,3,1,2016,0,0,0,33,115.5
1758,3,1,2017,0,0,0,7,24.5
1789,2,1,2017,5,0,0,7,24.5
781,3,1,2017,5,0,0,33,115.5
1819,4,1,2017,1,0,2,7,24.5
1826,1,1,2017,3,0,0,7,24.5
790,3,1,2017,1,0,0,33,115.5
795,3,1,2017,2,0,0,33,115.5
1830,2,1,2017,2,0,0,7,24.5
798,4,1,2017,0,0,0,33,115.5
1836,2,1,2017,4,1,1,7,24.5
1851,3,1,2017,4,1,1,7,24.5
1867,1,1,2016,2,0,0,7,24.5
1871,1,1,2017,4,1,1,7,24.5
1883,1,1,2017,6,0,0,7,24.5
1886,1,1,2017,6,0,0,7,24.5
839,3,1,2017,2,0,0,33,115.5
842,1,1,2017,4,1,1,19,66.5
844,3,1,2017,6,0,2,21,73.5
1895,3,1,2017,2,0,0,7,24.5
1899,4,1,2017,4,1,1,7,24.5
847,4,1,2017,2,0,0,33,115.5
1907,4,1,2017,1,0,2,7,24.5
866,4,1,2017,6,0,0,33,115.5
867,3,1,2016,2,0,0,33,115.5
868,4,1,2016,0,0,0,33,115.5
869,4,1,2016,1,0,2,33,115.5
1911,2,1,2017,6,0,0,7,24.5
1921,4,1,2017,0,0,0,7,24.5
880,1,1,2017,2,0,0,18,63.0
1931,2,1,2017,2,0,0,7,24.5
882,4,1,2017,1,0,2,21,73.5
1934,1,1,2016,5,0,2,7,24.5
1941,2,1,2017,5,0,0,7,24.5
1948,4,1,2016,6,0,0,7,24.5
891,3,1,2017,3,0,0,33,115.5
894,3,1,2016,1,0,0,33,115.5
1958,1,1,2016,2,0,0,7,24.5
1960,2,1,2016,0,0,2,7,24.5
1974,3,1,2017,4,1,1,7,24.5
1982,1,1,2017,6,0,0,7,24.5
1998,4,1,2017,3,0,0,7,24.5
914,3,1,2017,3,0,0,33,115.5
2013,1,1,2016,2,0,0,7,24.5
2019,1,1,2017,1,0,0,7,24.5
924,3,1,2017,0,0,0,33,115.5
2042,3,1,2017,4,1,1,7,24.5
2044,4,1,2017,6,0,0,7,24.5
939,3,1,2017,3,0,0,33,115.5
2052,3,1,2017,2,0,0,7,24.5
2066,2,1,2017,4,1,1,7,24.5
2079,1,1,2017,1,0,0,7,24.5
2104,2,1,2017,5,0,0,7,24.5
2115,1,1,2016,1,0,0,7,24.5
2116,3,1,2016,5,0,0,7,24.5
2128,1,1,2016,5,0,2,7,24.5
2129,2,1,2016,3,0,0,7,24.5
2136,1,1,2017,3,0,0,7,24.5
2137,4,1,2016,3,0,0,7,24.5
2144,2,1,2017,4,1,1,7,24.5
2145,3,1,2016,4,1,1,7,24.5
2147,4,1,2016,5,0,0,7,24.5
2153,2,1,2017,6,0,0,7,24.5
2159,4,1,2017,2,0,0,7,24.5
2164,4,0,2017,0,0,0,7,24.5
2167,1,0,2017,6,0,0,7,24.5
2176,4,1,2016,5,0,0,7,24.5
2185,1,0,2016,3,0,0,7,24.5
2187,4,0,2016,6,0,0,7,24.5
2192,2,1,2016,2,0,0,7,24.5
1000,4,1,2017,3,0,0,33,115.5
1002,4,1,2017,6,0,0,33,115.5
1007,3,1,2016,0,0,0,33,115.5
2211,3,1,2017,1,0,0,7,24.5
2219,2,0,2017,4,1,1,7,24.5
1011,3,1,2017,2,0,0,33,115.5
2222,2,0,2016,4,1,1,7,24.5
2227,3,1,2016,0,0,0,7,24.5
2228,2,1,2017,6,0,0,7,24.5
1020,4,1,2017,4,1,1,33,115.5
2267,3,1,2016,2,0,0,7,24.5
2279,2,1,2017,4,1,1,7,24.5
2281,1,1,2016,5,0,2,7,24.5
2291,1,0,2017,2,0,0,7,24.5
2299,2,1,2017,1,0,0,7,24.5
2310,2,0,2016,1,0,0,7,24.5
1039,4,1,2017,3,0,0,21,73.5
2323,3,0,2017,1,0,0,7,24.5
2331,2,0,2017,0,0,2,7,24.5
2333,2,1,2016,4,1,1,7,24.5
2364,3,0,2017,6,0,2,7,24.5
2367,2,1,2017,2,0,0,7,24.5
2376,4,1,2017,2,0,0,7,24.5
1063,3,1,2017,5,0,0,33,115.5
2378,1,1,2016,4,1,1,7,24.5
2380,2,1,2016,5,0,0,7,24.5
2389,4,1,2017,6,0,0,7,24.5
2412,1,1,2016,4,1,1,7,24.5
2415,4,1,2017,0,0,0,7,24.5
2416,4,1,2016,3,0,0,7,24.5
2427,1,1,2017,2,0,0,7,24.5
1075,4,1,2017,0,0,0,33,115.5
2429,3,1,2016,3,0,0,7,24.5
2436,4,1,2017,1,0,2,7,24.5
1081,3,1,2016,0,0,0,33,115.5
2443,4,1,2017,1,0,2,7,24.5
2449,1,1,2016,2,0,0,7,24.5
1086,3,1,2016,2,0,0,33,115.5
2450,1,1,2017,3,0,0,7,24.5
2451,3,1,2017,0,0,0,7,24.5
2453,2,1,2017,1,0,0,7,24.5
2458,1,1,2017,5,0,2,7,24.5
1093,3,1,2017,2,0,0,33,115.5
1094,3,1,2017,4,1,1,23,80.5
2459,1,1,2016,0,0,0,7,24.5
2461,4,1,2017,0,0,0,7,24.5
2471,1,1,2017,1,0,0,7,24.5
2483,1,1,2017,6,0,0,7,24.5
2489,2,1,2016,4,1,1,7,24.5
2492,2,1,2017,3,0,0,7,24.5
2535,4,1,2017,2,0,0,7,24.5
2544,4,1,2016,5,0,0,7,24.5
1115,3,1,2016,6,0,2,33,115.5
1117,4,1,2017,3,0,0,33,115.5
1118,3,1,2016,4,1,1,18,63.0
2562,4,1,2017,4,1,1,7,24.5
1125,2,1,2017,6,0,0,33,115.5
2569,4,1,2016,2,0,0,7,24.5
2578,2,1,2017,4,1,1,7,24.5
2592,4,1,2017,5,0,0,7,24.5
2598,3,1,2016,0,0,0,7,24.5
2620,4,1,2017,5,0,0,7,24.5
1144,3,1,2017,1,0,0,33,115.5
1149,2,1,2017,2,0,0,33,115.5
1160,4,1,2016,4,1,1,33,115.5
2632,1,1,2017,0,0,0,7,24.5
2639,3,1,2017,4,1,1,7,24.5
2646,4,1,2016,1,0,2,7,24.5
2662,4,1,2017,6,0,0,7,24.5
2694,3,1,2016,6,0,2,7,24.5
2697,2,1,2017,5,0,0,7,24.5
1184,4,1,2017,6,0,0,33,115.5
2714,4,1,2016,6,0,0,7,24.5
2715,1,1,2017,5,0,2,7,24.5
2722,4,1,2017,3,0,0,7,24.5
1201,2,1,2017,1,0,0,33,115.5
2725,4,1,2016,5,0,0,7,24.5
2731,1,1,2017,2,0,0,7,24.5
2733,4,1,2017,1,0,2,7,24.5
2741,2,1,2017,4,1,1,7,24.5
2764,3,1,2017,5,0,0,7,24.5
2767,2,1,2017,4,1,1,7,24.5
2780,2,0,2016,4,1,1,7,24.5
2811,4,1,2016,4,1,1,7,24.5
2819,4,0,2016,2,0,0,7,24.5
2831,1,1,2016,4,1,1,7,24.5
2842,1,1,2017,3,0,0,7,24.5
2850,4,1,2016,2,0,0,7,24.5
2853,2,1,2016,0,0,2,7,24.5
2863,2,1,2017,1,0,0,7,24.5
1246,4,1,2016,4,1,1,21,73.5
1247,3,1,2016,3,0,0,33,115.5
2874,3,1,2016,2,0,0,7,24.5
2890,4,1,2017,4,1,1,7,24.5
2891,3,1,2016,2,0,0,7,24.5
2924,3,1,2017,5,0,0,7,24.5
2928,3,1,2017,3,0,0,7,24.5
2952,2,1,2017,2,0,0,7,24.5
1259,4,1,2016,5,0,0,33,115.5
2958,3,1,2016,3,0,0,7,24.5
2959,2,1,2017,4,1,1,7,24.5
2967,1,1,2017,2,0,0,7,24.5
2969,3,1,2017,4,1,1,7,24.5
2972,4,1,2017,0,0,0,7,24.5
2979,1,1,2017,6,0,0,7,24.5
3014,4,1,2017,3,0,0,7,24.5
3015,4,1,2017,3,0,0,7,24.5
3016,3,1,2016,1,0,0,7,24.5
3020,1,1,2017,3,0,0,7,24.5
1294,4,1,2016,5,0,0,33,115.5
1298,1,1,2017,5,0,2,18,63.0
3023,1,1,2017,6,0,0,7,24.5
3038,1,0,2016,5,0,2,7,24.5
3045,2,0,2016,2,0,0,7,24.5
3056,2,0,2017,1,0,0,7,24.5
3071,2,0,2017,6,0,0,7,24.5
1309,3,1,2017,0,0,0,33,115.5
3072,1,0,2016,1,0,0,7,24.5
3076,3,0,2017,4,1,1,7,24.5
1313,1,1,2016,2,0,0,18,63.0
1320,2,1,2017,2,0,0,17,59.5
1322,1,1,2017,3,0,0,18,63.0
1323,3,1,2017,1,0,0,33,115.5
3085,2,0,2017,2,0,0,7,24.5
3086,1,0,2016,3,0,0,7,24.5
1332,1,1,2016,6,0,0,17,59.5
1333,1,1,2017,1,0,0,17,59.5
3100,3,0,2016,1,0,0,7,24.5
1342,1,1,2016,1,0,0,17,59.5
3110,3,0,2017,4,1,1,7,24.5
1345,3,1,2017,2,0,0,33,115.5
3118,4,0,2017,1,0,2,7,24.5
3126,3,0,2016,5,0,0,7,24.5
1349,3,1,2016,4,1,1,23,80.5
3133,1,0,2017,2,0,0,7,24.5
3137,2,0,2016,3,0,0,7,24.5
3141,4,0,2017,6,0,0,7,24.5
1358,1,1,2016,4,1,1,23,80.5
3146,2,0,2016,1,0,0,7,24.5
3158,3,0,2016,6,0,2,7,24.5
1362,1,1,2017,2,0,0,18,63.0
1363,1,1,2016,5,0,2,18,63.0
1374,3,1,2017,4,1,1,23,80.5
3164,3,0,2016,3,0,0,7,24.5
1383,4,1,2017,0,0,0,33,115.5
1384,1,1,2017,2,0,0,18,63.0
3189,2,0,2017,4,1,1,7,24.5
3194,4,0,2017,4,1,1,7,24.5
1392,1,1,2016,2,0,0,18,63.0
3199,4,0,2017,4,1,1,7,24.5
1413,2,1,2016,4,1,1,17,59.5
